   1.1000000e+01	   1.5000000e+00	   1.0000000e+00	
   2.7750000e+01	   1.5000000e+00	   1.0000000e+00	
   9.0500000e+01	   1.5000000e+00	   1.0000000e+00	
   1.3550000e+02	   1.5000000e+00	   1.0000000e+00	
   1.9262500e+02	   1.5000000e+00	   1.0000000e+00	
   2.0112500e+02	   1.5000000e+00	   1.0000000e+00	
   2.1325000e+02	   1.5000000e+00	   1.0000000e+00	
   2.2525000e+02	   1.5000000e+00	   1.0000000e+00	
   2.5825000e+02	   1.5000000e+00	   1.0000000e+00	
   3.3212500e+02	   1.5000000e+00	   1.0000000e+00	
   3.5437500e+02	   1.5000000e+00	   1.0000000e+00	
